,Vorname,Scope1,Scope2,Scope3,Scope1und2,Scope2und3,Scope1bis3,AbsSeiten,Jahr,Gewichtseinheit,NamePDF
62,Rainer,"[231.0, 309685.0, 291694.0]",[231.0],[231.0],[],[],[],"[[24, 233, 48], [233], [24, 233], [], [], []]",2018,tons,AZN - AstraZeneca Plc (AZN-GB) - Annual Report for period end 31-Dec-2018 (English) - PDF - 05-Mar-19 - Annual.pdf
63,Rainer,[],[],[],[],[],[],"[[], [], [], [], [], []]",2018,tons,BARC - Barclays Plc (BCS-GB) - Annual Report for period end 31-Dec-2018 (English) - PDF - 05-Mar-19 - Annual.pdf
64,Rainer,"[32.6, 864.0, 841.0]","[426.0, 438.0]","[18.0, 8254.0]","[32.6, 864.0, 841.0]",[],[],"[[34], [34], [34], [34], [], []]",2018,tons,BATS - British American Tobacco plc (BTI-GB) - Annual Report for period end 31-Dec-2018 (English) - PDF - 29-Mar-19 - Annual.pdf
65,Rainer,[],[],[],[],[],[],"[[], [], [], [], [], []]",2018,tons,BAYN - Bayer AG (BAYN-DE) - Annual Report for period end 31-Dec-2018 (English) - PDF - 3  3 - 27-Feb-19 - Annual.pdf
66,Rainer,[],[],[],[],[],[],"[[], [], [], [], [], []]",2018,tons,BBVA - Banco Bilbao Vizcaya Argentaria SA (BBVA-ES) - Annual Report for period end 31-Dec-2018 (English) - PDF - 16-Mar-19 - Annual.pdf
67,Rainer,"[6176.0, 3000.0, 2980.0]","[2496.0, 29265.0, 21963.0]","[6176.0, 3000.0, 3129057.0]","[55.0, 141945.0, 102966.0]",[],[],"[[89, 90, 12, 52], [89, 90, 12, 52], [12], [89, 12], [], []]",2021,tCO2e,BDEV - Annual Report for period end 30Jun2021 English PDF - 28-Oct-21 (1).pdf
68,Rainer,[],[],[],[],[],[],"[[], [], [], [], [], []]",2021,tons,BF.B - Annual Report for period end 30Apr2021 English PDF - 12-Jul-21.pdf
69,Rainer,"[16.5, 10.6, 11.3]",[16.5],"[65.0, 596.0, 596.4]","[16.5, 16.3, 18.0]",[],[],"[[53], [53], [54], [53], [], []]",2018,tons,bhpannualreport2018.pdf
70,Rainer,[],[],[],[],[],[],"[[], [], [], [], [], []]",2021,tons,BID - Annual Report for period end 30Jun2021 English PDF - 28-Oct-21.pdf
71,Rainer,[],[],[],[],[],[],"[[], [], [], [], [], []]",2020,tons,BIIB - Annual Report for period end 31Dec2020 English PDF - 23-Apr-21.pdf
72,Rainer,[],[],[],[],[],[],"[[], [], [], [], [], []]",2020,tons,BLK - Annual Report for period end 31Dec2020 English PDF - 14-Apr-21.pdf
73,Rainer,[],[],[],[],[],[],"[[], [], [], [], [], []]",2018,tons,BMW-Group-Annual-Report-2018.pdf
74,Rainer,[],[],[],[],[],[],"[[], [], [], [], [], []]",2020,tons,BMY - Annual Report for period end 31Dec2020 English PDF - 25-Mar-21.pdf
75,Rainer,[62149.0],[288902.0],[144974.0],[],[],[],"[[557], [557], [557], [], [], []]",2018,tons,BNP - BNP Paribas SA (BNP-FR) - Annual Report for period end 31-Dec-2018 (English) - PDF - 29-Mar-19 - Annual.pdf
76,Rainer,[],[],[],[],[],[],"[[], [], [], [], [], []]",2018,tons,BP - BP Plc (BP-GB) - Annual Report for period end 31-Dec-2018 (English) - PDF - 09-Apr-19 - Annual.pdf
77,Rainer,[],[],[],[],[],[],"[[], [], [], [], [], []]",2021,tons,BR - Annual Report for period end 30Jun2021 English PDF - 07-Oct-21.pdf
